Identifiant,Nom du commerce,Numéro voie,Nom voie,Code postal,Nom commune,Longitude,Latitude,geo_shape,geo_point_2d,zone,commerce_address
1060,TOTOO,6,RUE FALGUIERE,0,,2.317347,48.844024,"{""coordinates"": [2.3173470002599563, 48.844023999028984], ""type"": ""Point""}","48.844023999028984, 2.3173470002599563",Necker,6 RUE FALGUIERE
1096,MARIE THE,102,RUE DU CHERCHE-MIDI,0,,2.32161,48.847034,"{""coordinates"": [2.3216099994615274, 48.84703399941435], ""type"": ""Point""}","48.84703399941435, 2.3216099994615274",Necker,102 RUE DU CHERCHE-MIDI
1982,METRO CONVENTION,0,PLACE GENEVIEVE-DE-GAULLE-ANTHONIOZ,0,,2.2962295,48.8374989,"{""coordinates"": [2.2962295000460617, 48.837498899346876], ""type"": ""Point""}","48.837498899346876, 2.2962295000460617",Saint-Lambert,0 PLACE GENEVIEVE-DE-GAULLE-ANTHONIOZ
1928,LES COMEDIENS,44,BOULEVARD DU MONTPARNASSE,0,,2.3207244,48.8447287,"{""coordinates"": [2.3207243996772933, 48.84472869932239], ""type"": ""Point""}","48.84472869932239, 2.3207243996772933",Necker,44 BOULEVARD DU MONTPARNASSE
2361,BEST FRANCE TRADING,19,SQUARE JEAN THEBAUD 75015 PARIS,0,,2.300908,48.846624,"{""coordinates"": [2.300907999682762, 48.846623998950946], ""type"": ""Point""}","48.846623998950946, 2.300907999682762",Necker,19 SQUARE JEAN THEBAUD 75015 PARIS
2215,DELIKATESSEN,116,RUE DE LA CONVENTION 75015 PARIS,0,,2.288625,48.840654,"{""coordinates"": [2.2886250001035267, 48.84065399933147], ""type"": ""Point""}","48.84065399933147, 2.2886250001035267",Saint-Lambert,116 RUE DE LA CONVENTION 75015 PARIS
2405,BIO C  BON GRENELLE,70,BOULEVARD DE GRENELLE 75015 PARIS,0,,2.293123,48.850358,"{""coordinates"": [2.293123000641356, 48.850357998835946], ""type"": ""Point""}","48.850357998835946, 2.293123000641356",Grenelle,70 BOULEVARD DE GRENELLE 75015 PARIS
2372,BIO C  BON BALARD,80,RUE BALARD 75015 PARIS,0,,2.278101,48.839123,"{""coordinates"": [2.278101000235039, 48.83912299890698], ""type"": ""Point""}","48.83912299890698, 2.278101000235039",Javel,80 RUE BALARD 75015 PARIS
982,DUO DES CHAMPS,42,AVENUE FELIX FAURE,0,,2.288204,48.841339,"{""coordinates"": [2.288203999465952, 48.84133899862578], ""type"": ""Point""}","48.84133899862578, 2.288203999465952",Saint-Lambert,42 AVENUE FELIX FAURE
1089,L EPICERIE JEANNE,108,RUE DU CHERCHE-MIDI,0,,2.321079,48.846754,"{""coordinates"": [2.3210790003027357, 48.84675399909094], ""type"": ""Point""}","48.84675399909094, 2.3210790003027357",Necker,108 RUE DU CHERCHE-MIDI
1097,BABA BEY,47,BOULEVARD DU MONTPARNASSE,0,,2.322052,48.844699,"{""coordinates"": [2.3220519993718294, 48.84469899910131], ""type"": ""Point""}","48.84469899910131, 2.3220519993718294",Necker,47 BOULEVARD DU MONTPARNASSE
1102,PIZZA PINO,57,BOULEVARD DU MONTPARNASSE,0,,2.323043,48.844371,"{""coordinates"": [2.323043000216892, 48.84437099912828], ""type"": ""Point""}","48.84437099912828, 2.323043000216892",Necker,57 BOULEVARD DU MONTPARNASSE
953,LE RECEPTEUR,3,AVENUE THEOPHILE GAUTIER,0,,2.275186,48.851015,"{""coordinates"": [2.2751859995341928, 48.851014999196046], ""type"": ""Point""}","48.851014999196046, 2.2751859995341928",Grenelle,3 AVENUE THEOPHILE GAUTIER
1081,MIMI,105,RUE DU CHERCHE-MIDI,0,,2.32065,48.846347,"{""coordinates"": [2.320649999920837, 48.846346999184384], ""type"": ""Point""}","48.846346999184384, 2.320649999920837",Necker,105 RUE DU CHERCHE-MIDI
1984,METRO PORTE DE VERSAILLES,1,AVENUE ERNEST RENAN,0,,2.2880891,48.8322089,"{""coordinates"": [2.2880890998900627, 48.832208899052944], ""type"": ""Point""}","48.832208899052944, 2.2880890998900627",Saint-Lambert,1 AVENUE ERNEST RENAN
