bin_id,cycle_id,timestamp,fill_real,fill_pred,error_fill,time_to_90_real,time_to_90_pred,error_time_h,error_time_min
5629,53,2025-10-26 22:00:00,88.4,86.42451,1.9754944,5.0,3.9841514,1.0158486,60.95092
5629,53,2025-10-26 23:00:00,88.84,87.98972,0.85027313,4.0,3.1650615,0.8349385,50.096313
5629,53,2025-10-27 00:00:00,89.34,88.91766,0.42233276,3.0,2.563266,0.43673396,26.204037
5629,53,2025-10-27 01:00:00,89.93,89.9352,0.005203247,2.0,1.5503561,0.44964385,26.97863
5629,53,2025-10-27 03:00:00,90.33,90.62878,0.29877472,1.0,0.7163749,0.28362513,17.017508
5629,53,2025-10-27 04:00:00,90.54,91.0724,0.53240204,0.0,0.13958767,0.13958767,8.37526
5629,53,2025-10-27 05:00:00,90.56,91.24296,0.6829605,0.0,0.04228633,0.04228633,2.5371797
5629,53,2025-10-27 06:00:00,91.31,91.32001,0.010009766,0.0,0.018959763,0.018959763,1.1375858
5271,144,2025-10-27 23:00:00,74.02,76.72266,2.7026596,13.000001,10.430192,2.569809,154.18854
5271,144,2025-10-28 00:00:00,75.12,77.1933,2.0732956,11.999999,10.041005,1.9589939,117.539635
5271,144,2025-10-28 01:00:00,76.09,77.43175,1.3417511,11.0,9.547171,1.4528294,87.16976
5271,144,2025-10-28 02:00:00,76.87,78.22666,1.3566589,10.000001,9.001843,0.9981575,59.88945
5271,144,2025-10-28 03:00:00,77.73,79.04144,1.3114395,9.0,8.173414,0.82658577,49.595146
5271,144,2025-10-28 04:00:00,78.66,80.38969,1.7296829,8.0,7.239938,0.7600622,45.603733
5271,144,2025-10-28 05:00:00,79.02,81.85995,2.8399506,7.0,6.422969,0.57703114,34.62187
5271,144,2025-10-28 06:00:00,79.97,83.10783,3.137825,5.9999995,5.844582,0.15541744,9.325047
5271,144,2025-10-28 07:00:00,81.33,84.52131,3.191307,5.0,5.3284974,0.3284974,19.709845
5607,96,2025-10-28 07:00:00,70.87,75.62433,4.754326,13.000001,10.5230875,2.4769135,148.6148
5607,96,2025-10-28 08:00:00,72.43,75.68415,3.2541504,11.999999,10.4292145,1.5707846,94.24707
5271,144,2025-10-28 08:00:00,83.66,85.64493,1.9849243,4.0,4.5057044,0.5057044,30.342264
5607,96,2025-10-28 09:00:00,73.65,75.872246,2.2222443,11.0,10.225354,0.7746458,46.47875
5271,144,2025-10-28 09:00:00,85.87,87.20172,1.3317184,3.0,3.34098,0.34098005,20.458803
5685,118,2025-10-28 09:00:00,64.22,74.43186,10.211861,13.000001,10.602693,2.3973083,143.8385
5607,96,2025-10-28 10:00:00,75.12,76.19645,1.0764465,10.000001,9.917708,0.08229256,4.9375534
5271,144,2025-10-28 10:00:00,88.0,88.53566,0.5356598,2.0,2.5747318,0.5747318,34.48391
5685,118,2025-10-28 10:00:00,66.55,74.56067,8.010666,11.999999,10.346473,1.6535263,99.21158
5607,96,2025-10-28 11:00:00,76.75,76.9745,0.22450256,9.0,9.500506,0.5005064,30.030384
5685,118,2025-10-28 11:00:00,68.1,75.41635,7.316353,11.0,9.984339,1.0156612,60.939674
5685,118,2025-10-28 12:00:00,70.52,76.18521,5.6652145,10.000001,9.4473915,0.55260944,33.156567
5607,96,2025-10-28 12:00:00,78.2,78.364975,0.16497803,8.0,8.681755,0.68175507,40.905304
5607,96,2025-10-28 13:00:00,80.1,80.333176,0.23317719,7.0,7.50799,0.5079899,30.479393
5685,118,2025-10-28 13:00:00,72.19,78.0196,5.8295975,9.0,8.415363,0.5846367,35.0782
5688,83,2025-10-28 13:00:00,74.57,75.50809,0.93808746,13.000001,10.299187,2.7008142,162.04886
5685,118,2025-10-28 14:00:00,74.19,79.37684,5.1868362,8.0,7.1823215,0.81767845,49.060707
5688,83,2025-10-28 14:00:00,76.3,76.02029,0.2797165,11.999999,10.192299,1.8077002,108.462006
5607,96,2025-10-28 14:00:00,81.77,82.35302,0.5830231,5.9999995,6.4105005,0.410501,24.63006
5685,118,2025-10-28 15:00:00,76.63,80.57342,3.9434204,7.0,6.400283,0.59971714,35.98303
5688,83,2025-10-28 15:00:00,77.64,77.0038,0.63619995,11.0,10.030549,0.96945095,58.167057
5607,96,2025-10-28 15:00:00,83.45,83.342896,0.10710144,5.0,5.695313,0.695313,41.71878
5685,118,2025-10-28 16:00:00,78.5,82.44872,3.9487228,5.9999995,5.7408953,0.25910425,15.546255
5688,83,2025-10-28 16:00:00,78.69,77.94025,0.74975586,10.000001,9.764381,0.23561954,14.137173
5607,96,2025-10-28 16:00:00,84.89,84.72433,0.1656723,4.0,4.9537306,0.9537306,57.223835
5685,118,2025-10-28 17:00:00,80.84,84.138725,3.298729,5.0,5.127248,0.12724781,7.6348686
5688,83,2025-10-28 17:00:00,80.7,78.88845,1.8115463,9.0,9.42647,0.4264698,25.588188
5607,96,2025-10-28 17:00:00,87.07,85.64092,1.4290771,3.0,4.2129345,1.2129345,72.77607
5685,118,2025-10-28 18:00:00,83.52,85.762344,2.2423477,4.0,4.4740415,0.47404146,28.442488
5688,83,2025-10-28 18:00:00,82.31,80.41604,1.893959,8.0,9.119066,1.1190662,67.143974
5607,96,2025-10-28 18:00:00,88.49,87.63362,0.85637665,2.0,3.134963,1.134963,68.09778
5688,83,2025-10-28 19:00:00,83.83,81.58153,2.2484741,7.0,8.560291,1.5602913,93.61748
5685,118,2025-10-28 19:00:00,85.96,87.51681,1.5568085,3.0,3.2816958,0.28169584,16.90175
5688,83,2025-10-28 20:00:00,85.36,82.618164,2.7418365,5.9999995,7.7496624,1.7496629,104.979774
5685,118,2025-10-28 20:00:00,88.17,88.70689,0.5368881,2.0,2.6056685,0.60566854,36.34011
5688,83,2025-10-28 21:00:00,86.66,83.571365,3.0886383,5.0,6.883533,1.883533,113.01198
5688,83,2025-10-28 22:00:00,87.61,84.81644,2.7935638,4.0,6.124497,2.124497,127.46982
5688,83,2025-10-28 23:00:00,88.93,85.456314,3.4736862,3.0,5.5935006,2.5935006,155.61003
5688,83,2025-10-29 00:00:00,89.61,86.80497,2.8050308,2.0,4.905375,2.905375,174.3225
5688,83,2025-10-29 01:00:00,90.5,87.54258,2.9574203,1.0,3.996533,2.996533,179.79198
5688,83,2025-10-29 02:00:00,90.33,88.01756,2.312439,0.0,3.0535336,3.0535336,183.212
5688,83,2025-10-29 03:00:00,90.85,88.50408,2.3459167,0.0,2.7307427,2.7307427,163.84456
5266,57,2025-10-29 04:00:00,81.57,77.75984,3.8101578,13.000001,10.16837,2.8316307,169.89784
5266,57,2025-10-29 05:00:00,81.75,78.3046,3.4453964,11.999999,9.823378,2.1766214,130.59729
5266,57,2025-10-29 06:00:00,82.19,78.86444,3.3255615,11.0,9.449654,1.5503464,93.02078
5266,57,2025-10-29 07:00:00,83.03,79.60372,3.4262772,10.000001,8.980443,1.019558,61.173477
5266,57,2025-10-29 08:00:00,83.89,80.4665,3.4235,9.0,8.32067,0.6793299,40.759792
5266,57,2025-10-29 09:00:00,84.46,81.52922,2.9307785,8.0,7.637562,0.3624382,21.746292
5266,57,2025-10-29 10:00:00,85.12,82.28352,2.8364792,7.0,6.6089706,0.39102936,23.461761
5266,57,2025-10-29 11:00:00,86.57,83.20273,3.3672714,5.9999995,6.0178103,0.017810822,1.0686493
5266,57,2025-10-29 12:00:00,87.02,84.39705,2.6229477,5.0,5.3314705,0.3314705,19.88823
5266,57,2025-10-29 13:00:00,88.21,85.73307,2.4769287,4.0,4.457659,0.45765877,27.459526
5266,57,2025-10-29 14:00:00,88.93,87.33181,1.5981903,3.0,3.4672403,0.46724033,28.03442
5266,57,2025-10-29 15:00:00,89.46,88.659355,0.8006439,2.0,2.7763534,0.77635336,46.5812
5266,57,2025-10-29 16:00:00,90.48,89.39306,1.0869446,1.0,2.2373831,1.2373831,74.24299
5373,70,2025-10-29 17:00:00,81.14,78.04053,3.099472,13.000001,9.905772,3.0942287,185.65372
5373,70,2025-10-29 18:00:00,82.57,78.81489,3.7551117,11.999999,9.790758,2.209241,132.55446
5373,70,2025-10-29 19:00:00,83.83,79.37605,4.453949,11.0,9.544422,1.4555779,87.33467
5373,70,2025-10-29 20:00:00,85.13,80.1489,4.9810944,10.000001,9.201277,0.7987242,47.92345
5373,70,2025-10-29 21:00:00,86.36,81.28124,5.0787582,9.0,8.365531,0.63446903,38.068142
5373,70,2025-10-29 22:00:00,87.22,82.48827,4.7317276,8.0,7.186453,0.81354713,48.812828
4783,69,2025-10-29 23:00:00,82.51,77.67258,4.837425,13.000001,10.562524,2.437477,146.24863
5373,70,2025-10-29 23:00:00,87.89,83.88299,4.0070114,7.0,6.20341,0.79658985,47.79539
4783,69,2025-10-30 00:00:00,83.8,78.06114,5.738861,11.999999,10.179796,1.8202028,109.21217
5373,70,2025-10-30 00:00:00,88.6,85.06605,3.5339508,5.9999995,5.614426,0.3855734,23.134403
4783,69,2025-10-30 01:00:00,83.18,78.83689,4.343109,11.0,9.66391,1.3360901,80.165405
5373,70,2025-10-30 01:00:00,88.86,86.66322,2.1967773,5.0,4.5584106,0.44158936,26.495361
4783,69,2025-10-30 02:00:00,84.26,78.9564,5.303604,10.000001,9.06222,0.93778133,56.26688
